id,title,title_general,definition,contributor,timestamps
14,Don’t piss on my leg and tell me it’s raining,Piss on someone's leg and tell them it's raining,To tell someone an obvious lie.,Miles,2023-07-13 00:00:14
15,Too many chefs in the kitchen,Too many chefs in the kitchen,"Too many people are trying to control, influence, or work on something, with the quality of the final product suffering as a result. (A variation of the more common phrase, '"Too many chefs spoil the broth/stew/soup.'") ",Miles,2023-07-13 00:00:15
16,If you can’t handle the heat get out of the kitchen,"If you can''t stand the heat, get out of the kitchen","Used as a way to tell someone that they should either stop complaining about a difficult or unpleasant activity, or stop doing it",MIles,2023-07-13 00:00:16
17,Running on fumes,Running on fumes,"Continuing to operate with no or very little enthusiasm, energy, or resources left. A reference to a car that has nearly run out of fuel. ",,2023-07-13 00:00:17
18,One bad apple spoils the bunch,One bad apple spoils the (whole) bunch,"It only takes one person, thing, element, etc., to ruin the entire group, situation, project, etc. Refers to the fact that a rotting apple can cause other apples in close proximity to begin to rot as well. ",Eve,2023-07-13 00:00:18
19,The cream rises to the top,The cream (always) rises to the top,"Those with the most skill, the best work ethic, or the strongest moral character will inevitably find success in life. ",Miles,2023-07-13 00:00:19
20,Cut from same cloth,,Very similar in characteristics or behaviors.,,2023-07-13 00:00:20
21,Stick in the mud,Stick-in-the-mud,"Someone who is considered boring, often due to unpopular or outdated beliefs.",Miles,2023-07-13 00:00:21
22,Don’t rain on my parade,Don't rain on (one's) parade,Don't ruin one's plans or temper one's excitement. ,Eve,2023-07-13 00:00:22
23,Even the darkest storm cloud has a silver lining,,"The potential for something positive or beneficial to result from a negative situation. Often used in the phrase '"every cloud has a silver lining.'" (A silver lining on a cloud is an indication that the sun is behind it.)",Eve,2023-07-13 00:00:23
24,Mess with a bull you get the horn,"If you mess with the bull, you get the horns","If you anger, irritate, or provoke someone enough, you will induce some hostile retaliation or emotional reaction.",Miles,2023-07-13 00:00:24
25,It’s always darkest before dawn,it's (always) darkest (just) before the dawn,"The worst part of an experience, situation, period of time, etc., usually happens just before things get better.",Eve,2023-07-13 00:00:25
26,When it rains it pours,"When it rains, it pours","When something good or bad happens, similarly good or bad things tend to follow. ",,2023-07-13 00:00:26
27,Time and tide wait for no man,time and tide wait for no one,The opportunities of life will pass you by if you delay or procrastinate in taking advantage of them.,,2023-07-13 00:00:27
28,Even a broken clock is right twice a day,a broken clock is right twice a day,"Even people who are usually wrong can be right sometimes, even if just by accident. From the idea that the stationary hands of a broken clock will still display the correct time at two points during the 24-hour cycle.",Miles,2023-07-13 00:00:28
29,For whom the bell tolls,Background,Ernest Hemingway wrote ,Miles,2023-07-13 00:00:29
30,Make hay while the sun is shining,Make hay while the sun is shining,To take advantage of favorable conditions; to make the most of an opportunity when it is available. ,Eve,2023-07-13 00:00:30
31,Mellow is the man who knows what he’s missing,,,Eve,2023-07-13 00:00:31
32,Can’t teach an old dog new tricks,It's hard to teach an old dog new tricks,"It is exceptionally difficult to teach some new skill or behavior to someone, especially an older person, who is already firmly set in their ways. ",,2023-07-13 00:00:32
33,Hindsight’s 20/20,Hindsight is (always) 20/20,It is easier to clearly reevaluate past actions or decisions than when they are being made or done; things are clearer or more obvious when they are reflected upon. A reference to the visual acuity of normal eyesight (20/20 vision). ,,2023-07-13 00:00:33
34,Give a mouse a cookie and he’ll ask for a glass of milk,,,Eve,2023-07-13 00:00:34
320,Waking up on the wrong side of the bed,Wake up on the wrong side of (the) bed,"To be in a particularly and persistently irritable, unhappy, or grouchy mood or state, especially when it is not in line with one''s normal disposition. ",,2023-07-16 00:00:20
668,Fair weather friend,Fair-weather friend,Someone who remains a friend only when things are going well but abandons others during times of trouble or difficulty. ,,2023-08-08 00:00:10
75,Everything but the kitchen sink,Everything but the kitchen sink,"Nearly everything one can reasonably imagine; many different things, often to the point of excess or redundancy. ",,2023-07-13 00:01:15
35,Give an inch and they take a mile,give an inch and they'll take a mile,"Make a small concession and they''ll take advantage of you. For example, I told her she could borrow the car for one day and she''s been gone a week-give an inch! This expression, in slightly different form, was already a proverb in John Heywood''s 1546 collection, '"Give him an inch and he''ll take an ell,'" and is so well known it is often shortened (as in the example). The use of mile dates from about 1900. ",Miles,2023-07-13 00:00:35
36,The more the merrier,The more the merrier,More people will make something more enjoyable. Often used to welcome one to join a group or activity. ,,2023-07-13 00:00:36
37,Measure twice cut once,"Measure twice, cut once",An axiom that encourages careful first steps in order to avoid extra work later on. ,Miles,2023-07-13 00:00:37
38,"Give a man a fish, feed him for a day; teach a man to fish, feed him for a lifetime",,Simply giving someone a fish is not as helpful to them in the long run as teaching them how to fish.,Eve,2023-07-13 00:00:38
39,You can bring a horse to water but can’t make it drink,,"You can give someone an advantage or provide them with an opportunity, but you can''t force them to do something if they don''t want to",Eve,2023-07-13 00:00:39
40,One man’s trash is another man’s treasure,One man's trash is another man's treasure,What one person may consider worthless could be highly prized or valued by someone else. ,,2023-07-13 00:00:40
41,Burning the candle at both ends,Burn (one's)/the candle at both ends,"To overwork or exhaust oneself by doing too many things, especially both late at night and early in the morning. ",,2023-07-13 00:00:41
42,Polishing a turd,Polish a turd,"To make something unpleasant seem more appealing than it really is—which is often a futile effort. '"Turd'" is a slang term for a piece of feces. ",Miles,2023-07-13 00:00:42
43,"Put lipstick on a pig, its still a pig",,Making superficial or cosmetic changes to a product in a futile effort to disguise its fundamental failings,Eve,2023-07-13 00:00:43
44,One step forward two steps back," one step forward, two steps back ","Marked by a small amount progress that is then eradicated by a large amount of setbacks, problems, or difficulties.",,2023-07-13 00:00:44
45,It’s not over till the fat lady sings,It ain't over till/until the fat lady sings,"The final outcome cannot be assumed or determined until a given situation, event, etc., is completely finished. ('"Ain''t'" is a colloquial contraction of '"is not.'") The phrase refers to the stereotypically stout female sopranos of the opera, particularly the Valkyrie Brünnhilde, whose aria concludes Richard Wagner''s opera cycle ",,2023-07-13 00:00:45
46,Heavy is the head that wears the crown,heavy hangs the head that wears a/the crown,"The person who has the most power or authority suffers the largest amount of stress, anxiety, doubt, and worry. A misquote of the line '"Uneasy lies the head that wears a crown,'" from Shakespeare''s Henry IV, Part II. ",Eve,2023-07-13 00:00:46
47,Pick your poison,Pick your poison,,,2023-07-13 00:00:47
48,An axe to grind,An ax(e) to grind,A complaint or dispute that one feels compelled to discuss. ,,2023-07-13 00:00:48
49,Big shoes to fill,Big shoes to fill,A role vacated or left behind by someone who was exceptional in their performance and set very high standards as a result. ,,2023-07-13 00:00:49
50,The apple doesn’t fall far from the tree,The apple does not fall far from the tree,Said when someone is displaying traits or behaving in the same way as their relatives (especially parents). ,,2023-07-13 00:00:50
51,Chip off the old block,A chip off the old block,Someone whose character or personality resembles that of their parent. ,,2023-07-13 00:00:51
52,Chip on your shoulder,A chip on (one's) shoulder,An attitude that leads one to become combative or easily angered. ,,2023-07-13 00:00:52
53,Reinvent the wheel,Reinvent the wheel,"To do something in a wholly and drastically new way, often unnecessarily. (Usually used in negative constructions.) ",,2023-07-13 00:00:53
54,Two peas in a pod,Two peas in a pod,"Two people who are very similar, typically in interests, dispositions, or beliefs. ",,2023-07-13 00:00:54
55,Monkey on your back,Monkey on (one's) back,,,2023-07-13 00:00:55
56,Big fish in a small pond,A big fish in a small pond,"A situation in which one person has more power, influence, knowledge, or experience than others within a small group. It often implies that the person may not have as much clout in '"a bigger pond,'" i.e., a larger group or arena of some kind. ",,2023-07-13 00:00:56
57,When pigs fly,When pigs fly,At a point in time that will never come to pass. (Used to show skepticism or cynicism over some hypothetical situation or outcome.) ,,2023-07-13 00:00:57
58,When hell freezes over,When hell freezes over,Never; at no time. ,,2023-07-13 00:00:58
59,Out of the frying pan and into the fire,,,Eve,2023-07-13 00:00:59
60,The pot calling the kettle black,The pot calling the kettle black,A situation in which a person accuses someone of or criticizes someone for something that they themselves are guilty of. ,Eve,2023-07-13 00:01:00
61,Frog in boiling water,,,,2023-07-13 00:01:01
62,You gotta kiss a lot of frogs to find a prince,,,,2023-07-13 00:01:02
63,Bat out of hell,,,,2023-07-13 00:01:03
64,Going to hell in a hand basket,Go to hell in a handbasket,To be in an extremely and increasingly bad or ruinous condition; to be on the inevitable path to utter failure or ruin. ,,2023-07-13 00:01:04
65,Bite off more then you can chew,,,,2023-07-13 00:01:05
66,The bigger they are the harder they fall,"The bigger they are, the harder they fall","Those who are exceptionally large, powerful, or influential will have more to lose when they fail, and their failure will be all the more dramatic or spectacular because of it. ",,2023-07-13 00:01:06
67,The hair of the dog that bit you,The hair of the dog (that bit you),An alcoholic drink consumed to remedy a hangover. The phrase comes from the notion that literally rubbing the hair of the dog that bit you on the wound would help it to heal. ,Eve,2023-07-13 00:01:07
68,Wish in one hand and shit in the other,,,Miles,2023-07-13 00:01:08
69,All who wander are not lost,,,,2023-07-13 00:01:09
70,All that glitters is not gold,All that glitters is not gold,Things that have an outward appeal are often not as beautiful or valuable as they seem. ,,2023-07-13 00:01:10
71,Diamond in the rough,Diamond in the rough,A person or thing with exceptional qualities or characteristics that cannot be seen from the surface. ,,2023-07-13 00:01:11
72,Leave no stone unturned,Leave no stone unturned,To look for something in every possible place. ,,2023-07-13 00:01:12
73,No holds barred,No-holds-barred,free of restrictions or hampering conventions,,2023-07-13 00:01:13
74,Throw the baby out with the bath water,Throw the baby out with the bath,"To discard something valuable or important while disposing of something considered worthless, especially an outdated idea or form of behavior. The phrase is often used in the negative as a warning against such thoughtless behavior. ",Eve,2023-07-13 00:01:14
174,Fall off the wagon,Fall off the wagon,To return to drinking alcohol after a period of abstinence. Usually said of recovering alcoholics. ,,2023-07-14 00:47:00
76,Slow and steady wins the race,Slow and steady wins the race,"Persistent, consistent, and diligent progress, even if it is somewhat slow, will produce better results than rushing to get somewhere or achieve something, as the latter can result in mistakes or may prove unsustainable or unreliable. Derived from the classic Aesop fable of '"The Tortoise and the Hare,'" in which the titular tortoise is able to beat the hare in a race because the hare, overconfident in his superior speed, decides to take a nap along the way. ",,2023-07-13 00:01:16
77,Two sides to to the same coin,,,,2023-07-13 00:01:17
78,Play the hand you’re dealt,Play the hand (one) is dealt,"To accept, deal with, and make the most of one''s current situation or circumstances; to make use of that which one is afforded or has available. ",,2023-07-13 00:01:18
79,When life gives you lemons make lemonade,"When life gives you lemons, make lemonade",Focus on the good in a bad situation and take action accordingly. ,,2023-07-13 00:01:19
80,Put a pin in it,Put a pin in it,"To take a break from discussing some topic, with plans to resume the discussion later. ",,2023-07-13 00:01:20
81,The cherry on top,Cherry on top,"The flourish that caps something off (much like a cherry tops off an ice cream sundae). Sometimes used in the phrase '"pretty please with a cherry on top.'" ",,2023-07-13 00:01:21
82,Icing on the cake,The icing on the cake,An additional benefit or positive aspect to something that is already considered positive or beneficial. ,,2023-07-13 00:01:22
83,The squeaky wheel gets the grease,The squeaky wheel gets the grease,The person complaining or protesting the loudest or most frequently is the one who will receive the most attention from others. ,,2023-07-13 00:01:23
84,Raised nails get pounded,,,,2023-07-13 00:01:24
85,Softer than a baby’s bottom,,,,2023-07-13 00:01:25
86,Hell or high water,By hell or high water,"By any means necessary; regardless of any difficulty, problem, or obstacle. ",,2023-07-13 00:01:26
87,Stuck between a rock and a hard place,,,,2023-07-13 00:01:27
88,Airing out your dirty laundry.,,,,2023-07-13 00:01:28
89,Skeletons in your closet,Skeleton in the/(one's) closet,An embarrassing or shameful secret. Primarily heard in US. ,,2023-07-13 00:01:29
90,Skating on thin ice,Skating on thin ice,"Engaged in some activity or behavior that is very risky, dangerous, or likely to cause a lot of trouble. ",,2023-07-13 00:01:30
91,Flying too close to the sun,Fly too close to the sun,"To do something especially ambitious and daring that can or ultimately does lead to one''s own undoing or downfall. An allusion to the mythical figure Icarus, whose wings made of feathers and wax melted when he flew too close to the sun. ",Eve,2023-07-13 00:01:31
92,Toot your own horn,Toot (one's) own horn,"To boast or brag about one''s own abilities, skills, success, achievements, etc. ",,2023-07-13 00:01:32
93,Pat yourself on the back,,,,2023-07-13 00:01:33
94,Catch more flies with honey than vinegar,You (can) catch more flies with honey than (with) vinegar,"You are more likely to get the results you want from other people if you treat them with kindness or flattery, rather than being aggressive, demanding, or caustic. ",Eve,2023-07-13 00:01:34
95,Kill them with kindness,Kill (one) with kindness,"To harm, inconvenience, or bother one by treating them with excessive favor or kindness. The phrase originated as the expression '"kill with kindness as fond apes do their young,'" referring to the notion that such animals sometimes crushed their offspring by hugging them too hard. ",Eve,2023-07-13 00:01:35
96,Eye for an eye makes the whole world blind,An eye for an eye makes the whole world blind,"No good will result from avenging injuries in a manner equal to the original offense. The expression, widely attributed to Mahatma Gandhi, refers to the Biblical saying '"an eye for an eye, a tooth for a tooth,'" which encourages vengeance that is equal to the original injury or offense. ",Eve,2023-07-13 00:01:36
97,In the land of the blind the one eyed man is king,"In the land of the blind, the one-eyed man is king",Someone with few skills or abilities can impress and wield power over those who have even less to offer. ,Eve,2023-07-13 00:01:37
98,That ship has sailed,That ship has sailed,Some possibility or option is no longer available or likely. ,Eve,2023-07-13 00:01:38
99,Two ships passing the night,,,,2023-07-13 00:01:39
100,The pen is mightier than the sword,The pen is mightier than the sword,"Strong, eloquent, or well-crafted speech or writing is more influential on a greater number of people than force or violence. ",,2023-07-13 00:01:40
101,Double edged sword,Double-edged sword,Something that can be both beneficial and problematic. ,Miles,2023-07-13 00:01:41
102,I don’t have a dog in that fight,,,,2023-07-13 00:01:42
103,"Spare the rod, spoil the child",,,Eve,2023-07-13 00:01:43
104,Like water off a ducks back,,,Eve,2023-07-13 00:01:44
105,The juice isn’t worth the squeeze,,,Miles,2023-07-13 00:01:45
106,Can’t get blood from a stone,You can't get blood from a stone,"It is impossible to obtain something from someone if they are too parsimonious, uncharitable, or resolved against it. ",Miles,2023-07-13 00:01:46
107,Don’t judge a book by its cover,Don't judge a book by its cover,Don't base your opinion of something (or someone) on the way it (or one) looks. ,,2023-07-13 00:01:47
108,You can’t step into the same river twice,,,Eve,2023-07-13 00:01:48
109,Don’t whistle up the wind,,,,2023-07-13 00:01:49
110,Stick a fork in me,Stick a fork in (me/it/something),"A phrase used to indicate that one or something is finished, complete, or no longer able to continue. Alludes to the practice of testing how thoroughly a piece of meat is cooked by piercing it with a fork. ",,2023-07-13 00:01:50
111,This goose is cooked,(one's) goose is cooked,"One is thoroughly defeated, ruined, or finished.",Eve,2023-07-13 00:01:51
112,You shake it more than twice you’re playing with it,,,Miles,2023-07-13 00:01:52
113,Why buy the cow when the milk is free,Why buy a/the cow when you can get (the) milk for free?,"If someone is already able to obtain some commodity or benefit freely or easily, then they won''t be inclined to pay for the source of it.",,2023-07-13 00:01:53
114,Don’t rock the boat,Don't rock the boat,Don't say or do something that could upset a stable situation. ,,2023-07-13 00:01:54
115,"If the shoe fits, wear it","If the shoe fits(, wear it)","If something (typically negative) applies to one, one should acknowledge it or accept responsibility or blame for it. ",,2023-07-13 00:01:55
321,Wrong side of the tracks,The wrong side of the tracks,"A part of a town or city that is particularly impoverished (and usually dangerous or undesirable as a result). '"Tracks'" refers to railroad tracks, which are sometimes thought of as demarcating different economic areas of a town. ",,2023-07-16 00:00:21
116,"If it walks like a duck, talks like duck, it’s probably a duck","if it looks like a duck and walks like a duck, it is a duck","If something has all the characteristics of a thing, it is probably that thing, regardless of what it is called or presented as. There are many variations of the expression, and it is often shortened to the first part of the phrase.",,2023-07-13 00:01:56
117,Waiting for the other shoe to drop,Waiting for the other shoe to drop,"To wait for the next, seemingly unavoidable (and typically negative) thing to happen. ",Eve,2023-07-13 00:01:57
121,Early bird gets the worm,The early bird catches the worm,Someone who seizes some opportunity at the earliest point in time will have the best chance of reaping its benefits.,,2023-07-13 00:02:01
122,Let sleeping dogs lie,Let sleeping dogs lie,To leave a situation alone so as to avoid worsening it. ,Eve,2023-07-13 00:02:02
123,A stitch in time saves nine,A stitch in time (saves nine),"A prompt, decisive action taken now will prevent problems later. ",Eve,2023-07-13 00:02:03
124,Every dog has his day,Every dog has his/her/their day,Even the least fortunate person will have success at some point. ,Eve,2023-07-13 00:02:04
125,Reap what you sow,Reap what (one) sows,To suffer the negative consequences of one's actions. ,,2023-07-13 00:02:05
126,Till the cows come home,Until the cows come home,"For a very long, indefinite amount of time; forever.",Eve,2023-07-13 00:02:06
127,Chickens come home to roost,(one's) chickens come home to roost,"For a very long, indefinite amount of time; forever.",Eve,2023-07-13 00:02:07
133,Baked in the cake,Baked in the cake,,Miles,2023-07-14 00:00:06
137,Oldest trick in the book,The oldest trick in the book,"A method of deception, or of addressing some issue, that is well known or has been used for a long time. ",Miles,2023-07-14 00:00:10
138,I’m picking up what you’re putting down,,,Miles,2023-07-14 00:00:11
139,Biting the hand that feeds you,Bite the hand that feeds (you),To scorn or poorly treat those on whom you depend or derive benefit. ,Miles,2023-07-14 00:00:12
140,Put you’re money where your mouth is?,,,Miles,2023-07-14 00:00:13
141,Get your ducks in a row,Get (one's) ducks in a row,"To take action to become well-organized, prepared, or up-to-date. ",Miles,2023-07-14 00:00:14
142,As the crow flies,As the crow flies,The measurement of distance in a straight line. (From the notion that crows always fly in a straight line.) ,Miles,2023-07-14 00:00:15
143,The lights are on by nobody is home,,,Miles,2023-07-14 00:00:16
144,Not playing with a full deck,Not playing with a full deck,Not mentally sound; crazy or mentally deranged. ,Miles,2023-07-14 00:00:17
145,Pay the pied piper,,,Miles,2023-07-14 00:00:18
146,Got a screw loose,,,Miles,2023-07-14 00:00:19
147,Walk a mile in someone’s shoes,Walk a mile in (someone's) shoes,"To spend time trying to consider or understand another person''s perspectives, experiences, or motivations before making a judgment about them. ",Miles,2023-07-14 00:00:20
148,This isn’t my first rodeo,Not (one's) first rodeo,"One is experienced with a certain situation, especially in relation to potential pitfalls or deceitful practices by others. ",Miles,2023-07-14 00:00:21
149,Bury the hatchet,Bury the hatchet,To make peace with someone. ,Miles,2023-07-14 00:22:00
150,Proof is in the pudding,The proof is in the pudding,The final results of something are the only way to judge its quality or veracity. ,Eve,2023-07-14 00:23:00
151,Look what the cat dragged in,Look what the cat('s) dragged in,A mild and usually playful insult used to announce someone's arrival and suggest that the person has a messy or otherwise disheveled physical appearance. ,Eve,2023-07-14 00:24:00
152,Spill the beans,Spill the beans,To reveal something that was meant to be a secret. ,Eve,2023-07-14 00:25:00
153,At loose ends,At loose ends,"Uneasy, typically due to some problem or unresolved issue. ",Eve,2023-07-14 00:26:00
154,Canary in a coal mine,Canary in a/the coal mine,"Something or someone who, due to sensitivity to his, her, or its surroundings, acts as an indicator and early warning of possible adverse conditions or danger. Refers to the former practice of taking caged canaries into coal mines. The birds would die if methane gas became present and thereby alert miners to the danger. ",Eve,2023-07-14 00:27:00
156,All hands on deck,All hands on deck,"A call for all members of a ship''s crew to come to the deck, usually in a time of crisis. (A '"hand'" is a member of a ship''s crew.) ",Miles,2023-07-14 00:29:00
157,Crying wolf,Cry wolf,"To claim that something is happening when it really isn''t, which results in the rejection of subsequent valid claims. The expression comes from one of Aesop''s fables, in which a young shepherd lies about a wolf threatening his flock so many times that people do not believe him when he and his flock are legitimately in danger. ",Eve,2023-07-14 00:30:00
158,Cross your t’s dot your i’s,,,,2023-07-14 00:31:00
159,Over the moon,Over the moon,Extremely happy. ,Eve,2023-07-14 00:32:00
160,Shoot for the stars,Shoot for the stars,To set one's goals or ambitions very high; to try to attain or achieve something particularly difficult. ,Eve,2023-07-14 00:33:00
161,Read between the lines,Read between the lines,"To infer or understand the real or hidden meaning behind the superficial appearance of something. '"Lines'" refers to lines of text on a printed page. ",Eve,2023-07-14 00:34:00
162,Put that in you’re pipe and smoke it,,,Miles,2023-07-14 00:35:00
163,Rode hard and put away wet,Ride hard and put (something) away wet,"Of a horse, to ride it until a lather of sweat has formed, then put it into the stable without drying it. A noun or pronoun can be used between '"ride'" and '"hard.'" Primarily heard in US. ",Miles,2023-07-14 00:36:00
164,Put the axe to the grindstone,,,Miles,2023-07-14 00:37:00
165,A penny saved is a penny earned,A penny saved is a penny earned,"Every small amount helps to build one''s savings (i.e. by saving a penny, you have one more penny). ",Miles,2023-07-14 00:38:00
166,Key to my heart,The key to (one's) heart,"That which will make one very happy or content; the way to make one appreciate, like, or love someone else. ",Eve,2023-07-14 00:39:00
168,You can’t have your cake and eat it too,"You can''t have your cake and eat it(, too)","You cannot have or do two things that are both desirable but normally contradictory or impossible to have or do simultaneously. Because '"have'" can also mean '"eat,'" this expression may seem redundant. However, it is based on the meaning of '"have'" as '"to possess,'" i.e., to maintain possession of one''s cake while still eating it, an obvious impossibility. ",,2023-07-14 00:41:00
169,Kill two birds with one stone,Kill two birds with one stone,"To complete, achieve, or take care of two tasks at the same time or with a singular series of actions; to solve two problems with one action or solution. ",Eve,2023-07-14 00:42:00
170,I don’t have a horse in that race,,,Eve,2023-07-14 00:43:00
171,That’s the way the cookie crumbles,That's the way the cookie crumbles,"There is nothing we can do about the way things have unfolded, especially bad ones, so there is no reason to be upset about it. ",Miles,2023-07-14 00:44:00
172,A straight arrow,Straight arrow,"An honest, ethical person who makes good decisions. ",,2023-07-14 00:45:00
173,On the straight and narrow,On the straight and narrow,Maintaining a morally upright way of life; only making choices that are considered morally and legally correct. ,Eve,2023-07-14 00:46:00
175,Knocking on death’s door,,,,2023-07-14 00:48:00
176,Pushing daisies,,,,2023-07-14 00:49:00
177,Every rose has its thorn,Every rose has its/a thorn,"There is rarely a good or positive thing, event, or circumstance that is not accompanied by some aspect that is negative or unpleasant. ",Miles,2023-07-14 00:50:00
178,Lightning never strikes the same place twice,Lightning never strikes (the same place) twice,Something that's very extraordinary and unlikely to happen will never happen to the same person twice. (Said especially of tragic or unfortunate events.) ,,2023-07-14 00:51:00
179,Dog eat dog world,A dog-eat-dog world,"A society, situation, industry, etc. characterized by ruthless behavior and competition. ",,2023-07-14 00:52:00
180,It’s a small world after all,,,,2023-07-14 00:53:00
181,Smoke em if you got em,,,,2023-07-14 00:54:00
182,On the tip of your tongue,On the tip of (one's) tongue,Almost able to be recalled. ,,2023-07-14 00:55:00
183,Pulled the short straw,,,,2023-07-14 00:56:00
184,Dear in headlights,,,,2023-07-14 00:57:00
185,Babe in the woods,Babe in the woods,"A person who is gullible, naïve, or lacks experience in a specific situation. ",,2023-07-14 00:58:00
186,Cold feet,Cold feet,Nervousness or anxiety felt before one attempts to do something. ,,2023-07-14 00:59:00
187,Caught red handed,Catch (one) red-handed,"To see, and perhaps apprehend, someone as they are doing something (often something nefarious). The phrase might have originally referred to blood on a murderer''s hands. ",,2023-07-14 01:00:00
188,Going hard in the paint,,,,2023-07-14 01:01:00
189,On the fence,On the fence,Not making a decision or taking a side when presented with two options or possibilities; undecided. ,,2023-07-14 01:02:00
190,In the weeds,(deep) in the weeds,"Of a restaurant worker, completely overwhelmed with diners'' orders and unable to keep up with the pace. ",,2023-07-14 01:03:00
191,Putting the cart before the horse,Put the cart before the horse,To do things out of the proper order. ,,2023-07-14 01:04:00
192,Paint the town red,Paint the town (red),"To go out into a city or town and have an enjoyable time, typically by visiting various establishments, such as bars, restaurants, clubs, etc. ",,2023-07-14 01:05:00
193,Pipe dream,Pipe dream,A dream or idea that is impossible to accomplish. ,,2023-07-14 01:06:00
195,Don’t blow smoke up my ass,,,,2023-07-14 01:08:00
196,Monkey see monkey do,"Monkey see, monkey do",Children naturally tend to imitate or copy what they see adults or other children doing. ,,2023-07-14 01:09:00
197,Pull yourself up by your bootstraps,Pull (oneself) up by (one's) (own) bootstraps,"To improve one''s life or circumstances through one''s own efforts, rather than relying on others. ",,2023-07-14 01:10:00
198,Rat race,Rat race,"A fierce competition for success, wealth, or power. ",,2023-07-14 01:11:00
199,Written in stone,Written in stone,Permanently fixed or firmly established; incapable of being changed. Often used in the negative. ,,2023-07-14 01:12:00
200,Smooth sailing,Smooth sailing,"Progress or advancement that is free from difficulties, obstacles, or challenges. ",,2023-07-14 01:13:00
201,All down hill from here,,,,2023-07-14 01:14:00
202,Shooting blanks,Shoot blanks,"Of a man, to have a low sperm count in his semen. ",,2023-07-14 01:15:00
203,Pushing rope,,,,2023-07-14 01:16:00
204,Blacker the berry sweeter the juice,,,,2023-07-14 01:17:00
205,Over my dead body,Over my dead body,"I will never allow it; under no circumstances will that be permitted to happen (i.e., something can only happen if I am not alive to prevent it). ",,2023-07-14 01:18:00
206,Raise the roof,Raise the roof,"To engage in loud, unrestrained, and boisterous behavior, especially at a party or while celebrating. ",,2023-07-14 01:19:00
207,It takes village to raise a child,,,,2023-07-14 01:20:00
208,Get on board,,,,2023-07-14 01:21:00
209,Below the belt,Below the belt,"Unfairly targeted at one''s weakness or vulnerability. The phrase refers to boxing, in which hitting an opponent below the waist is prohibited. ",,2023-07-14 01:22:00
210,0 to 60,Go from zero to sixty,"To accelerate from a standstill to sixty miles per hour. Used to indicate how quickly a vehicle, especially an automobile, can accelerate. ",,2023-07-14 01:23:00
211,Turn on a dime,Turn on a dime,To turn very quickly and with great agility. ,,2023-07-14 01:24:00
212,Once bitten twice shy,"Once bitten, twice shy","Once one is hurt by someone or something, one will be extra cautious to avoid that person or thing. ",,2023-07-14 01:25:00
213,The road to hell is paved with good intentions,The road to hell is paved with good intentions,Good intentions do not matter if a person's actions lead to bad outcomes. ,,2023-07-14 01:26:00
214,Don’t shit where you eat,Don't shit where you eat,"Do not engage in troublesome or dubious behavior at one''s home, place of business, or any location where one frequents, for it invites undesired consequences. ",,2023-07-14 01:27:00
215,Don’t dip the pen in company ink,,,,2023-07-14 01:28:00
216,Pulling your leg,Pull (one's) leg,"To tease or joke with someone, often by trying to convince them of something untrue. ",,2023-07-14 01:29:00
220,Glass half empty,Glass half empty,Of or characterized by a generally pessimistic worldview. (Typically hyphenated and used as a modifier before a noun.) ,,2023-07-14 01:33:00
222,Strike gold,Strike gold,"Literally, to discover gold, as in a gold mine. ",,2023-07-14 01:35:00
223,Ruling with an iron fist,Rule with an iron fist,"To rule, govern, or control a group or population with complete, typically tyrannical authority over all aspects of life, work, etc. A noun or pronoun can be used between '"rule'" and '"with.'" ",,2023-07-14 01:36:00
